Semester,InfoVeranstaltung,Immatrikulation,Zweitbewerbung,Geschlecht,HZB-Art,Note HZB,Note Bachelor,ECTS Bachelor,Fachrichtung Bachelor,Distance_to_71034
2024,nein,Nein,nein,Herr,Gymnasium(aHR),1.0,3.5,210,Wirtschaftsinformatik,356.687802
2024,ja,Nein,nein,Frau,Berufsakademie(aHR),3.3,2.9,210,Wirtschaftswissenschaftl./Wirtschaftsing.-wesen,317.031339
2024,nein,Nein,nein,Frau,Gymnasium(aHR),1.7,1.1,210,Techn./Mathem./Ingen.-Wiss. Studiengänge,153.014607
2024,nein,Ja,WIM,Frau,Fachgymnasium(aHR),2.2,2.6,210,Techn./Mathem./Ingen.-Wiss. Studiengänge,17.842345
2024,nein,Nein,WIM,Herr,Gymnasium(aHR),3.5,2.2,210,Wirtschaftsinformatik,250.707476
2024,ja,Nein,WIM,Herr,Berufsakademie(aHR),1.6,2.3,210,Wirtschaftswissenschaftl./Wirtschaftsing.-wesen,489.974181
2024,ja,Nein,nein,Frau,Abendgymn./Kolleg(aHR),2.8,2.3,210,Wirtschaftsinformatik,418.206191
2024,ja,Ja,nein,Frau,Fachgymnasium(aHR),1.9,3.9,210,Wirtschaftswissenschaftl./Wirtschaftsing.-wesen,301.681806
2024,ja,Ja,nein,Frau,Abendgymn./Kolleg(aHR),2.0,1.5,210,Wirtschaftswissenschaftl./Wirtschaftsing.-wesen,459.689108
2024,nein,Ja,nein,Herr,Fachgymnasium(aHR),1.7,1.2,210,Wirtschaftsinformatik,469.540723
